source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,edge_origin
42,2,0.0,0.9428090415820635,0.935694190065955,ORIGINAL
42,3,0.0,0.8486684247915056,0.9599929196111939,ORIGINAL
42,4,0.0,,0.9420432252655582,ORIGINAL
42,5,0.0,0.9999999999999998,0.9420432252655582,ORIGINAL
42,6,0.0,0.6324555320336759,0.9403748526765583,ORIGINAL
42,7,0.0,0.944911182523068,0.9420432252655582,ORIGINAL
42,8,0.0,0.9428090415820635,0.9420432252655582,ORIGINAL
42,9,0.0,1.0,0.9420432252655582,ORIGINAL
43,0,0.0,,0.9478675152236234,ORIGINAL
43,1,0.0,,0.9478675152236234,ORIGINAL
43,2,0.0,,0.9777320864904733,ORIGINAL
43,3,0.0,,0.999999999999996,ORIGINAL
43,4,0.0,,0.9478675152236234,ORIGINAL
43,5,0.0,,0.9478675152236234,ORIGINAL
43,6,0.0,,0.941348872505469,ORIGINAL
43,7,0.0,,0.9478675152236234,ORIGINAL
43,8,0.0,,0.9478675152236234,ORIGINAL
43,9,0.0,,0.9478675152236234,ORIGINAL
44,0,0.0,,0.959400934511315,ORIGINAL
44,1,0.0,0.8333333333333334,0.959400934511315,ORIGINAL
44,2,0.0,0.9622504486493763,0.9838151382869627,ORIGINAL
44,3,0.0,0.5039526306789697,0.9455680632095379,ORIGINAL
44,4,0.0,0.7453559924999299,0.959400934511315,ORIGINAL
44,5,0.0,0.7745966692414834,0.959400934511315,ORIGINAL
44,6,0.0,0.6546536707079772,0.9765368568814966,ORIGINAL
44,7,0.0,,0.959400934511315,ORIGINAL
44,8,0.0,,0.959400934511315,ORIGINAL
44,9,0.0,0.7071067811865475,0.959400934511315,ORIGINAL
45,0,0.0,0.0,0.9806790809612916,ORIGINAL
45,1,0.0,0.17541160386140586,0.9806790809612916,ORIGINAL
45,2,0.0,-0.2727272727272727,0.9341955262974632,ORIGINAL
45,3,0.0,-0.24019223070763074,0.9453174448106192,ORIGINAL
45,4,0.0,0.0,0.9806790809612916,ORIGINAL
45,5,0.0,0.19999999999999996,0.9806790809612916,ORIGINAL
