matrix_index,biokorf_drug_id,graph_node_index,has_kg_connection
374,BIOKORF_DRUG_374,374,True
375,BIOKORF_DRUG_375,375,True
376,BIOKORF_DRUG_376,376,True
377,BIOKORF_DRUG_377,377,True
378,BIOKORF_DRUG_378,378,True
379,BIOKORF_DRUG_379,379,True
380,BIOKORF_DRUG_380,380,True
381,BIOKORF_DRUG_381,381,True
382,BIOKORF_DRUG_382,382,True
383,BIOKORF_DRUG_383,383,True
384,BIOKORF_DRUG_384,384,True
385,BIOKORF_DRUG_385,385,True
386,BIOKORF_DRUG_386,386,True
387,BIOKORF_DRUG_387,387,True
388,BIOKORF_DRUG_388,388,True
389,BIOKORF_DRUG_389,389,True
390,BIOKORF_DRUG_390,390,True
391,BIOKORF_DRUG_391,391,True
392,BIOKORF_DRUG_392,392,True
393,BIOKORF_DRUG_393,393,True
394,BIOKORF_DRUG_394,394,True
395,BIOKORF_DRUG_395,395,True
396,BIOKORF_DRUG_396,396,True
397,BIOKORF_DRUG_397,397,True
398,BIOKORF_DRUG_398,398,True
399,BIOKORF_DRUG_399,399,True
400,BIOKORF_DRUG_400,400,True
401,BIOKORF_DRUG_401,401,True
402,BIOKORF_DRUG_402,402,True
403,BIOKORF_DRUG_403,403,True
404,BIOKORF_DRUG_404,404,True
405,BIOKORF_DRUG_405,405,True
406,BIOKORF_DRUG_406,406,True
407,BIOKORF_DRUG_407,407,True
408,BIOKORF_DRUG_408,408,True
409,BIOKORF_DRUG_409,409,True
410,BIOKORF_DRUG_410,410,True
411,BIOKORF_DRUG_411,411,True
412,BIOKORF_DRUG_412,412,True
413,BIOKORF_DRUG_413,413,True
414,BIOKORF_DRUG_414,414,True
415,BIOKORF_DRUG_415,415,True
416,BIOKORF_DRUG_416,416,True
417,BIOKORF_DRUG_417,417,True
418,BIOKORF_DRUG_418,418,True
419,BIOKORF_DRUG_419,419,True
420,BIOKORF_DRUG_420,420,True
421,BIOKORF_DRUG_421,421,True
422,BIOKORF_DRUG_422,422,True
423,BIOKORF_DRUG_423,423,True
424,BIOKORF_DRUG_424,424,True
425,BIOKORF_DRUG_425,425,True
426,BIOKORF_DRUG_426,426,True
427,BIOKORF_DRUG_427,427,True
428,BIOKORF_DRUG_428,428,True
429,BIOKORF_DRUG_429,429,True
430,BIOKORF_DRUG_430,430,True
431,BIOKORF_DRUG_431,431,True
432,BIOKORF_DRUG_432,432,True
433,BIOKORF_DRUG_433,433,True
434,BIOKORF_DRUG_434,434,True
435,BIOKORF_DRUG_435,435,True
436,BIOKORF_DRUG_436,436,True
437,BIOKORF_DRUG_437,437,True
438,BIOKORF_DRUG_438,438,True
439,BIOKORF_DRUG_439,439,True
440,BIOKORF_DRUG_440,440,True
441,BIOKORF_DRUG_441,441,True
442,BIOKORF_DRUG_442,442,True
443,BIOKORF_DRUG_443,443,True
444,BIOKORF_DRUG_444,444,True
445,BIOKORF_DRUG_445,445,True
446,BIOKORF_DRUG_446,446,True
447,BIOKORF_DRUG_447,447,True
448,BIOKORF_DRUG_448,448,True
449,BIOKORF_DRUG_449,449,True
450,BIOKORF_DRUG_450,450,True
451,BIOKORF_DRUG_451,451,True
452,BIOKORF_DRUG_452,452,True
453,BIOKORF_DRUG_453,453,True
454,BIOKORF_DRUG_454,454,True
455,BIOKORF_DRUG_455,455,True
456,BIOKORF_DRUG_456,456,True
457,BIOKORF_DRUG_457,457,True
458,BIOKORF_DRUG_458,458,True
459,BIOKORF_DRUG_459,459,True
460,BIOKORF_DRUG_460,460,True
461,BIOKORF_DRUG_461,461,True
462,BIOKORF_DRUG_462,462,True
463,BIOKORF_DRUG_463,463,True
464,BIOKORF_DRUG_464,464,True
465,BIOKORF_DRUG_465,465,True
466,BIOKORF_DRUG_466,466,True
467,BIOKORF_DRUG_467,467,True
468,BIOKORF_DRUG_468,468,True
469,BIOKORF_DRUG_469,469,True
470,BIOKORF_DRUG_470,470,True
471,BIOKORF_DRUG_471,471,True
472,BIOKORF_DRUG_472,472,True
473,BIOKORF_DRUG_473,473,True
474,BIOKORF_DRUG_474,474,True
475,BIOKORF_DRUG_475,475,True
476,BIOKORF_DRUG_476,476,True
477,BIOKORF_DRUG_477,477,True
478,BIOKORF_DRUG_478,478,True
479,BIOKORF_DRUG_479,479,True
480,BIOKORF_DRUG_480,480,False
481,BIOKORF_DRUG_481,481,False
482,BIOKORF_DRUG_482,482,True
483,BIOKORF_DRUG_483,483,True
484,BIOKORF_DRUG_484,484,True
485,BIOKORF_DRUG_485,485,True
486,BIOKORF_DRUG_486,486,True
487,BIOKORF_DRUG_487,487,True
488,BIOKORF_DRUG_488,488,True
489,BIOKORF_DRUG_489,489,True
490,BIOKORF_DRUG_490,490,True
491,BIOKORF_DRUG_491,491,True
492,BIOKORF_DRUG_492,492,True
493,BIOKORF_DRUG_493,493,True
494,BIOKORF_DRUG_494,494,True
495,BIOKORF_DRUG_495,495,True
496,BIOKORF_DRUG_496,496,True
497,BIOKORF_DRUG_497,497,True
498,BIOKORF_DRUG_498,498,False
499,BIOKORF_DRUG_499,499,True
500,BIOKORF_DRUG_500,500,True
501,BIOKORF_DRUG_501,501,True
502,BIOKORF_DRUG_502,502,True
503,BIOKORF_DRUG_503,503,True
504,BIOKORF_DRUG_504,504,True
505,BIOKORF_DRUG_505,505,True
506,BIOKORF_DRUG_506,506,True
507,BIOKORF_DRUG_507,507,True
508,BIOKORF_DRUG_508,508,True
509,BIOKORF_DRUG_509,509,True
510,BIOKORF_DRUG_510,510,True
511,BIOKORF_DRUG_511,511,True
512,BIOKORF_DRUG_512,512,True
513,BIOKORF_DRUG_513,513,True
514,BIOKORF_DRUG_514,514,True
515,BIOKORF_DRUG_515,515,True
516,BIOKORF_DRUG_516,516,True
517,BIOKORF_DRUG_517,517,True
518,BIOKORF_DRUG_518,518,True
519,BIOKORF_DRUG_519,519,True
520,BIOKORF_DRUG_520,520,True
521,BIOKORF_DRUG_521,521,True
522,BIOKORF_DRUG_522,522,True
523,BIOKORF_DRUG_523,523,True
524,BIOKORF_DRUG_524,524,True
525,BIOKORF_DRUG_525,525,True
526,BIOKORF_DRUG_526,526,True
527,BIOKORF_DRUG_527,527,True
528,BIOKORF_DRUG_528,528,True
529,BIOKORF_DRUG_529,529,True
530,BIOKORF_DRUG_530,530,True
531,BIOKORF_DRUG_531,531,True
532,BIOKORF_DRUG_532,532,True
533,BIOKORF_DRUG_533,533,True
534,BIOKORF_DRUG_534,534,True
535,BIOKORF_DRUG_535,535,False
536,BIOKORF_DRUG_536,536,True
537,BIOKORF_DRUG_537,537,True
538,BIOKORF_DRUG_538,538,True
539,BIOKORF_DRUG_539,539,True
540,BIOKORF_DRUG_540,540,True
541,BIOKORF_DRUG_541,541,True
542,BIOKORF_DRUG_542,542,True
543,BIOKORF_DRUG_543,543,True
544,BIOKORF_DRUG_544,544,True
545,BIOKORF_DRUG_545,545,True
546,BIOKORF_DRUG_546,546,True
547,BIOKORF_DRUG_547,547,True
548,BIOKORF_DRUG_548,548,True
549,BIOKORF_DRUG_549,549,False
550,BIOKORF_DRUG_550,550,True
551,BIOKORF_DRUG_551,551,True
552,BIOKORF_DRUG_552,552,True
553,BIOKORF_DRUG_553,553,True
554,BIOKORF_DRUG_554,554,True
555,BIOKORF_DRUG_555,555,True
556,BIOKORF_DRUG_556,556,True
557,BIOKORF_DRUG_557,557,True
558,BIOKORF_DRUG_558,558,True
559,BIOKORF_DRUG_559,559,True
560,BIOKORF_DRUG_560,560,True
561,BIOKORF_DRUG_561,561,True
562,BIOKORF_DRUG_562,562,True
563,BIOKORF_DRUG_563,563,True
564,BIOKORF_DRUG_564,564,True
565,BIOKORF_DRUG_565,565,True
566,BIOKORF_DRUG_566,566,True
567,BIOKORF_DRUG_567,567,True
568,BIOKORF_DRUG_568,568,True
569,BIOKORF_DRUG_569,569,True
570,BIOKORF_DRUG_570,570,True
571,BIOKORF_DRUG_571,571,True
572,BIOKORF_DRUG_572,572,True
573,BIOKORF_DRUG_573,573,True
574,BIOKORF_DRUG_574,574,True
575,BIOKORF_DRUG_575,575,True
576,BIOKORF_DRUG_576,576,True
577,BIOKORF_DRUG_577,577,True
578,BIOKORF_DRUG_578,578,True
579,BIOKORF_DRUG_579,579,True
580,BIOKORF_DRUG_580,580,True
581,BIOKORF_DRUG_581,581,True
582,BIOKORF_DRUG_582,582,True
583,BIOKORF_DRUG_583,583,True
584,BIOKORF_DRUG_584,584,True
585,BIOKORF_DRUG_585,585,True
586,BIOKORF_DRUG_586,586,True
587,BIOKORF_DRUG_587,587,True
