matrix_index,biokorf_side_id,graph_node_index,has_kg_connection
623,BIOKORF_SIDE_623,1380,False
624,BIOKORF_SIDE_624,1381,False
625,BIOKORF_SIDE_625,1382,False
626,BIOKORF_SIDE_626,1383,False
627,BIOKORF_SIDE_627,1384,True
628,BIOKORF_SIDE_628,1385,False
629,BIOKORF_SIDE_629,1386,False
630,BIOKORF_SIDE_630,1387,True
631,BIOKORF_SIDE_631,1388,False
632,BIOKORF_SIDE_632,1389,True
633,BIOKORF_SIDE_633,1390,False
634,BIOKORF_SIDE_634,1391,False
635,BIOKORF_SIDE_635,1392,True
636,BIOKORF_SIDE_636,1393,False
637,BIOKORF_SIDE_637,1394,False
638,BIOKORF_SIDE_638,1395,True
639,BIOKORF_SIDE_639,1396,False
640,BIOKORF_SIDE_640,1397,False
641,BIOKORF_SIDE_641,1398,False
642,BIOKORF_SIDE_642,1399,False
643,BIOKORF_SIDE_643,1400,False
644,BIOKORF_SIDE_644,1401,False
645,BIOKORF_SIDE_645,1402,False
646,BIOKORF_SIDE_646,1403,False
647,BIOKORF_SIDE_647,1404,False
648,BIOKORF_SIDE_648,1405,False
649,BIOKORF_SIDE_649,1406,True
650,BIOKORF_SIDE_650,1407,True
651,BIOKORF_SIDE_651,1408,False
652,BIOKORF_SIDE_652,1409,False
653,BIOKORF_SIDE_653,1410,False
654,BIOKORF_SIDE_654,1411,False
655,BIOKORF_SIDE_655,1412,True
656,BIOKORF_SIDE_656,1413,False
657,BIOKORF_SIDE_657,1414,False
658,BIOKORF_SIDE_658,1415,True
659,BIOKORF_SIDE_659,1416,False
660,BIOKORF_SIDE_660,1417,False
661,BIOKORF_SIDE_661,1418,False
662,BIOKORF_SIDE_662,1419,False
663,BIOKORF_SIDE_663,1420,False
664,BIOKORF_SIDE_664,1421,True
665,BIOKORF_SIDE_665,1422,False
666,BIOKORF_SIDE_666,1423,False
667,BIOKORF_SIDE_667,1424,False
668,BIOKORF_SIDE_668,1425,False
