matrix_index,side_effect_name,sider_found,sider_pt_row_count,umls_cui_count,umls_cuis,matched_meddra_names,mapping_status
217,crying,True,12,1,"[""C0010399""]","[""Crying""]",unique_umls
218,cushing syndrome,False,0,0,[],[],unmatched
219,cyanosis,True,29,1,"[""C0010520""]","[""Cyanosis""]",unique_umls
220,cyst,True,31,1,"[""C0010709""]","[""Cyst""]",unique_umls
221,cystitis,True,90,1,"[""C0010692""]","[""Cystitis""]",unique_umls
222,cystitis haemorrhagic,True,14,1,"[""C0085692""]","[""Cystitis haemorrhagic""]",unique_umls
223,cystitis non infective,False,0,0,[],[],unmatched
224,deafness,True,150,1,"[""C0011053""]","[""Deafness""]",unique_umls
225,decreased appetite,True,1455,1,"[""C0232462""]","[""Decreased appetite""]",unique_umls
226,deep vein thrombosis,True,80,1,"[""C0149871""]","[""Deep vein thrombosis""]",unique_umls
227,dehydration,True,232,1,"[""C0011175""]","[""Dehydration""]",unique_umls
228,delirium,True,68,1,"[""C0011206""]","[""Delirium""]",unique_umls
229,delusion,True,64,1,"[""C0011253""]","[""Delusion""]",unique_umls
230,dementia,True,19,1,"[""C0497327""]","[""Dementia""]",unique_umls
231,dental caries,True,26,1,"[""C0011334""]","[""Dental caries""]",unique_umls
232,depressed level of consciousness,True,98,1,"[""C0549249""]","[""Depressed level of consciousness""]",unique_umls
233,depressed mood,True,36,1,"[""C0344315""]","[""Depressed mood""]",unique_umls
234,depression,True,637,1,"[""C0011570""]","[""Depression""]",unique_umls
235,feeling unreal,False,0,0,[],[],unmatched
236,dermatitis,True,2183,1,"[""C0011603""]","[""Dermatitis""]",unique_umls
237,dermatitis acne,False,0,0,[],[],unmatched
238,dermatitis atopic,True,46,1,"[""C0011615""]","[""Dermatitis atopic""]",unique_umls
239,dermatitis bullous,True,135,1,"[""C0085932""]","[""Dermatitis bullous""]",unique_umls
240,dermatitis contact,True,93,1,"[""C0011616""]","[""Dermatitis contact""]",unique_umls
241,dermatitis exfoliating,False,0,0,[],[],unmatched
242,diabetes mellitus,True,161,1,"[""C0011849""]","[""Diabetes mellitus""]",unique_umls
243,diarrhoea,True,3216,1,"[""C0011991""]","[""Diarrhoea""]",unique_umls
244,diarrhoea haemorrhagic,True,13,1,"[""C0151594""]","[""Diarrhoea haemorrhagic""]",unique_umls
245,diplopia,True,196,1,"[""C0012569""]","[""Diplopia""]",unique_umls
246,discomfort,True,563,1,"[""C0234215""]","[""Discomfort""]",unique_umls
247,disorientation,True,76,1,"[""C0233407""]","[""Disorientation""]",unique_umls
248,disseminated intravascular coagulation,True,20,1,"[""C0012739""]","[""Disseminated intravascular coagulation""]",unique_umls
249,disturbance in attention,True,190,1,"[""C0233414""]","[""Disturbance in attention""]",unique_umls
250,disturbance in sexual arousal,True,325,1,"[""C0855242""]","[""Disturbance in sexual arousal""]",unique_umls
251,diverticulitis,True,19,1,"[""C0012813""]","[""Diverticulitis""]",unique_umls
252,dizziness,True,3207,1,"[""C0012833""]","[""Dizziness""]",unique_umls
253,dizziness postural,True,33,1,"[""C0234987""]","[""Dizziness postural""]",unique_umls
254,drug eruption,True,37,1,"[""C0011609""]","[""Drug eruption""]",unique_umls
255,drug hypersensitivity,True,16,1,"[""C0013182""]","[""Drug hypersensitivity""]",unique_umls
256,drug ineffective,True,10,1,"[""C0852908""]","[""Drug ineffective""]",unique_umls
257,dry eye,True,125,1,"[""C0314719""]","[""Dry eye""]",unique_umls
258,dry mouth,True,1037,1,"[""C0043352""]","[""Dry mouth""]",unique_umls
259,dry skin,True,323,1,"[""C0151908""]","[""Dry skin""]",unique_umls
260,dry throat,True,32,1,"[""C0235234""]","[""Dry throat""]",unique_umls
261,duodenal ulcer,True,22,1,"[""C0013295""]","[""Duodenal ulcer""]",unique_umls
262,duodenal inflammation,False,0,0,[],[],unmatched
263,paresthesia,False,0,0,[],[],unmatched
264,dysarthria,True,132,1,"[""C0013362""]","[""Dysarthria""]",unique_umls
265,bad taste,False,0,0,[],[],unmatched
266,dyskinesia,True,185,1,"[""C0013384""]","[""Dyskinesia""]",unique_umls
267,menses painful,False,0,0,[],[],unmatched
268,dyspareunia,True,10,1,"[""C1384606""]","[""Dyspareunia""]",unique_umls
269,dyspepsia,True,1568,1,"[""C0013395""]","[""Dyspepsia""]",unique_umls
270,dysphagia,True,210,1,"[""C0011168""]","[""Dysphagia""]",unique_umls
271,dysphonia,True,110,1,"[""C1527344""]","[""Dysphonia""]",unique_umls
272,dysphoria,True,25,1,"[""C0233477""]","[""Dysphoria""]",unique_umls
273,air hunger,False,0,0,[],[],unmatched
274,air hunger exertional,False,0,0,[],[],unmatched
275,urinary spray,False,0,0,[],[],unmatched
