matrix_index,drug_name,top1_neighbor_index,top1_neighbor_name,top1_nonself_cosine,top5_mean_cosine,top10_mean_cosine,tenth_neighbor_cosine,top1_minus_tenth_similarity_margin,top1_minus_top10_mean_margin
95,bexarotene,6,desmopressin,1.0,0.9999999999999984,0.999999999999998,0.9999999999999974,2.55351295663786e-15,1.9984014443252818e-15
96,ibutilide,40,dofetilide,0.9894754309001387,0.9894754308270727,0.9894754300014765,0.9894754284145962,2.485542438535049e-09,8.986621446993581e-10
97,chlortalidone,85,raltitrexed,0.991703959595266,0.991703959595266,0.9910203657523388,0.9878547429312701,0.003849216663995958,0.0006835938429272659
98,valproic.acid,438,ibuprofen,0.9999999999999942,0.9999999999999936,0.9999999999999932,0.9999999999999921,2.1094237467877974e-15,9.992007221626409e-16
99,zolmitriptan,682,fingolimod,0.999999999999997,0.9999999999999968,0.9999999999999962,0.9999999999999948,2.220446049250313e-15,7.771561172376096e-16
100,paracetamol,179,buspirone,0.9899687935647856,0.9877601787582979,0.9870492064137706,0.9857583745416302,0.004210419023155443,0.002919587151015035
101,gefitinib,690,vemurafenib,0.9999999999999981,0.9999999999999973,0.9989676119737492,0.9896761197375233,0.010323880262474772,0.0010323880262489427
102,piperacillin,153,ceftazidime,1.0000000000000007,1.0000000000000007,0.9989318114173908,0.98931811417391,0.010681885826090642,0.0010681885826098192
103,dihydroergotamine,118,megestrol,0.9999999999999981,0.9999999999999977,0.9999999999999967,0.9999999999999941,3.9968028886505635e-15,1.4432899320127035e-15
104,tolcapone,67,anagrelide,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999971,3.1086244689504383e-15,4.440892098500626e-16
105,hydromorphone,22,calcitriol,0.9999999999999986,0.9999999999999973,0.9936156681987279,0.9831732464143123,0.016826753585686305,0.006384331801270626
106,indometacin,519,clomipramine,0.9999999999999959,0.9999999999999953,0.999999999999995,0.999999999999994,1.887379141862766e-15,8.881784197001252e-16
107,metformin,445,fludarabine,0.9999999999999977,0.9999999999999967,0.9960647127074898,0.9901617804305757,0.009838219569421991,0.003935287292507916
108,ipratropium.bromide,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
109,olanzapine,468,carvedilol,0.9999999999999951,0.9999999999999943,0.9975743432297918,0.9919144767536504,0.008085523246344706,0.002425656770203344
110,atenolol,69,metoprolol,0.9999999999999997,0.9999999999999962,0.9975743434803126,0.9919144775887164,0.008085522411283241,0.0024256565196870694
111,pimecrolimus,329,tadalafil,1.0000000000000004,1.0000000000000004,0.9999999999999998,0.9999999999999987,1.7763568394002505e-15,6.661338147750939e-16
112,omeprazole,160,lansoprazole,0.9999999999999988,0.9999999999999984,0.9999999999999982,0.9999999999999977,1.1102230246251565e-15,5.551115123125783e-16
113,cetirizine,345,eprosartan,1.0,0.9925093864871334,0.9886233905373965,0.9803233574868003,0.01967664251319967,0.011376609462603549
114,diltiazem,494,flecainide,0.9999999999999962,0.9999999999999958,0.9999999999999947,0.9999999999999918,4.440892098500626e-15,1.5543122344752192e-15
115,alfuzosin,278,tizanidine,1.0000000000000002,0.9999999999999991,0.9999999999999982,0.9999999999999973,2.886579864025407e-15,1.9984014443252818e-15
116,nitisinone,68,carmustine,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.0,1.1102230246251565e-16
117,clobazam,55,temazepam,0.9833139197431636,0.9833139192266694,0.9833139189774986,0.9833139181748427,1.568320917577637e-09,7.656649758658318e-10
118,megestrol,262,sumatriptan,1.0,0.9999999999999979,0.9999999999999967,0.999999999999994,5.995204332975845e-15,3.3306690738754696e-15
119,aztreonam,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
120,sapropterin,486,ifosfamide,0.985152881208155,0.9851528804247703,0.9851528802854643,0.9851528801461585,1.0619964907476742e-09,9.226907016213204e-10
121,vinorelbine,67,anagrelide,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999971,3.1086244689504383e-15,4.440892098500626e-16
122,anidulafungin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
123,clozapine,654,fesoterodine,0.9999999999999962,0.9999999999999956,0.9999999999999952,0.999999999999995,1.2212453270876722e-15,9.992007221626409e-16
124,levonorgestrel,285,sufentanil,0.9999999999999977,0.9999999999999977,0.9999999999999976,0.999999999999996,1.6653345369377348e-15,1.1102230246251565e-16
125,cidofovir,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
126,mirtazapine,231,doxazosin,0.9999999999999963,0.9999999999999952,0.999999999999995,0.9999999999999941,2.220446049250313e-15,1.3322676295501878e-15
