pair_group,source_drug_index,source_drug_name,target_drug_index,target_drug_name,kg_embedding_cosine,source_gene_count,target_gene_count,shared_gene_count,gene_jaccard,source_pathway_count,target_pathway_count,shared_pathway_count,pathway_jaccard
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,651,degarelix,666,lanthanum.carbonate,0.9471904310983514,1,0,0,0.0,2,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,267,losartan,510,aminophylline,0.932394796006649,16,7,1,0.045454545454545456,36,39,11,0.171875
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,41,azithromycin,210,azelaic.acid,0.9875726776175375,4,3,0,0.0,13,6,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,592,glatiramer.acetate,646,liraglutide,1.0,0,0,0,0.0,0,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,319,sulfasalazine,444,atazanavir,0.9130329387886089,16,14,3,0.1111111111111111,100,38,16,0.13114754098360656
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,533,paliperidone,748,atracurium,0.9347544150023341,19,1,0,0.0,25,2,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,406,gabapentin,611,prasugrel,0.9458081394284928,8,7,0,0.0,15,24,1,0.02631578947368421
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,58,cladribine,501,clarithromycin,0.9999999999999973,12,8,0,0.0,38,19,2,0.03636363636363636
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,245,alendronic.acid,745,tropisetron,0.9180331865362581,5,1,0,0.0,15,1,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,27,flunisolide,48,eletriptan,0.9146255936307469,3,11,1,0.07692307692307693,16,18,7,0.25925925925925924
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,132,amlodipine,608,lasofoxifene,0.965873844394834,14,3,0,0.0,29,17,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,158,teniposide,408,frovatriptan,0.9659286595364384,7,3,0,0.0,23,9,4,0.14285714285714285
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,8,insulin.glargine,240,rifabutin,0.9787128258071633,0,8,0,0.0,0,72,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,108,ipratropium.bromide,255,estrone,0.9616716980521702,0,20,0,0.0,0,58,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,662,dalteparin,754,hydroxyprogesterone,0.9699713572266225,0,1,0,0.0,0,7,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,99,zolmitriptan,416,busulfan,0.9118027504825515,11,6,0,0.0,24,15,4,0.11428571428571428
