matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers
4,erythropoietin,CIDm05288169,DRUGBANK:DB00016,Erythropoietin,properties.name,"","",[],"[""BTD00103"",""BIOD00103"",""DB08923""]"
5,insulin,CIDm16129672,CHEMBL1201631,INSULIN HUMAN,properties.synonyms,"","","[""human/EPAR/actrapid"",""human/EPAR/inpremzia"",""human/EPAR/insuman"",""insulin%20human"",""insulin%20recombinant%20human""]",[]
6,desmopressin,CIDm05311065,CHEMBL1429,DESMOPRESSIN,properties.name;properties.synonyms,NFLWUMRGJYTJIN-PNIOQBSNSA-N,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,"[""4450"",""DB00035""]",[]
9,rasburicase,CIDm00474409,CHEMBL1201594,RASBURICASE,properties.name;properties.synonyms,"","","[""rasburicase"",""human/EPAR/fasturtec""]",[]
9,rasburicase,CIDm00474409,DRUGBANK:DB00049,Rasburicase,properties.name;properties.synonyms,"","",[],"[""BTD00090"",""BIOD00090""]"
10,albumin,CIDm00006432,CHEMBL1201451,ALBUMIN HUMAN,properties.synonyms,"","",[],[]
11,eptifibatide,CIDm00448812,CHEMBL1174,EPTIFIBATIDE,properties.name;properties.synonyms;properties.trade_names,CZKPOZZJODAYPZ-LROMGURASA-N,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,"[""291902"",""human/EPAR/eptifibatide-accord"",""eptifibatide""]",[]
11,eptifibatide,CIDm00448812,DRUGBANK:DB00063,Eptifibatide,properties.name;properties.synonyms,CZKPOZZJODAYPZ-LROMGURASA-N,NC(=N)NCCCC[C@@H]1NC(=O)CCSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC(O)=O)NC(=O)CNC1=O)C(N)=O,[],"[""BTD00063"",""BIOD00063""]"
12,muromonab-CD3,CIDm00083030,CHEMBL1201608,MUROMONAB-CD3,properties.name;properties.synonyms,"","",[],[]
12,muromonab-CD3,CIDm00083030,DRUGBANK:DB00075,Muromonab,properties.synonyms,"","",[],"[""BTD00005"",""BIOD00005""]"
