matrix_index,drug_name,stitch_id,stitch_inchikey,optimuskg_id,optimuskg_name,optimuskg_inchikey,was_previous_name_candidate
169,fluoxetine,CIDm00003386,RTHCYVBBDHJXIQ-INIZCTEOSA-N,CHEMBL1169388,(S)-Fluoxetine,RTHCYVBBDHJXIQ-INIZCTEOSA-N,false
169,fluoxetine,CIDm00003386,GIYXAJPCNFJEHY-UHFFFAOYSA-N,CHEMBL1201082,FLUOXETINE HYDROCHLORIDE,GIYXAJPCNFJEHY-UHFFFAOYSA-N,true
169,fluoxetine,CIDm00003386,RTHCYVBBDHJXIQ-MRXNPFEDSA-N,CHEMBL153036,R-FLUOXETINE,RTHCYVBBDHJXIQ-MRXNPFEDSA-N,true
169,fluoxetine,CIDm00003386,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CHEMBL41,FLUOXETINE,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,true
170,duloxetine,CIDm00060834,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CHEMBL1175,DULOXETINE,ZEUITGRIYCTCEM-KRWDZBQOSA-N,true
170,duloxetine,CIDm00060834,BFFSMCNJSOPUAY-LMOVPXPDSA-N,CHEMBL1200328,DULOXETINE HYDROCHLORIDE,BFFSMCNJSOPUAY-LMOVPXPDSA-N,false
171,rimantadine,CIDm00005071,OZBDFBJXRJWNAV-UHFFFAOYSA-N,CHEMBL535396,RIMANTADINE HYDROCHLORIDE,OZBDFBJXRJWNAV-UHFFFAOYSA-N,false
171,rimantadine,CIDm00005071,UBCHPRBFMUDMNC-UHFFFAOYSA-N,CHEMBL959,RIMANTADINE,UBCHPRBFMUDMNC-UHFFFAOYSA-N,true
172,lenalidomide,CIDm00216326,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL848,LENALIDOMIDE,GOTYRUGSSMKFNF-UHFFFAOYSA-N,true
173,raloxifene,CIDm00005035,BKXVVCILCIUCLG-UHFFFAOYSA-N,CHEMBL1116,RALOXIFENE HYDROCHLORIDE,BKXVVCILCIUCLG-UHFFFAOYSA-N,false
173,raloxifene,CIDm00005035,GZUITABIAKMVPG-UHFFFAOYSA-N,CHEMBL81,RALOXIFENE,GZUITABIAKMVPG-UHFFFAOYSA-N,true
174,celecoxib,CIDm00002662,RZEKVGVHFLEQIL-UHFFFAOYSA-N,CHEMBL118,CELECOXIB,RZEKVGVHFLEQIL-UHFFFAOYSA-N,true
175,brimonidine,CIDm00002435,QZHBYNSSDLTCRG-UHFFFAOYSA-N,CHEMBL2062257,BRIMONIDINE TARTRATE,QZHBYNSSDLTCRG-UHFFFAOYSA-N,false
175,brimonidine,CIDm00002435,XYLJNLCSTIOKRM-UHFFFAOYSA-N,CHEMBL844,BRIMONIDINE,XYLJNLCSTIOKRM-UHFFFAOYSA-N,true
177,nabilone,CIDm00039860,GECBBEABIDMGGL-UHFFFAOYSA-N,CHEMBL2218896,NABILONE,GECBBEABIDMGGL-UHFFFAOYSA-N,true
177,nabilone,CIDm00039860,GECBBEABIDMGGL-RTBURBONSA-N,CHEMBL947,CESAMET,GECBBEABIDMGGL-RTBURBONSA-N,true
178,sotalol,CIDm00005253,VIDRYROWYFWGSY-UHFFFAOYSA-N,CHEMBL1700,SOTALOL HYDROCHLORIDE,VIDRYROWYFWGSY-UHFFFAOYSA-N,false
178,sotalol,CIDm00005253,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL471,SOTALOL,ZBMZVLHSJCTVON-UHFFFAOYSA-N,true
179,buspirone,CIDm00002477,RICLFGYGYQXUFH-UHFFFAOYSA-N,CHEMBL1200399,BUSPIRONE HYDROCHLORIDE,RICLFGYGYQXUFH-UHFFFAOYSA-N,false
179,buspirone,CIDm00002477,QWCRAEMEVRGPNT-UHFFFAOYSA-N,CHEMBL49,BUSPIRONE,QWCRAEMEVRGPNT-UHFFFAOYSA-N,true
185,flutamide,CIDm00003397,MKXKFYHWDHIYRV-UHFFFAOYSA-N,CHEMBL806,FLUTAMIDE,MKXKFYHWDHIYRV-UHFFFAOYSA-N,true
186,cimetidine,CIDm00002756,QJHCNBWLPSXHBL-UHFFFAOYSA-N,CHEMBL1201051,CIMETIDINE HYDROCHLORIDE,QJHCNBWLPSXHBL-UHFFFAOYSA-N,false
186,cimetidine,CIDm00002756,AQIXAKUUQRKLND-UHFFFAOYSA-N,CHEMBL30,CIMETIDINE,AQIXAKUUQRKLND-UHFFFAOYSA-N,true
