matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
849,skin lesion,C0037284,10040882,Skin lesion,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
850,skin mass,C0281981,10067868,Skin mass,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
851,skin odour abnormal,C0234930,10040904,Skin odour abnormal,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
852,skin papilloma,C0347390,10040907,Skin papilloma,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
853,skin striae,C0152459,10040925,Skin striae,,"[""HP_0001065""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
854,skin ulcer,C0037299,10040943,Skin ulcer,,"[""HP_0200042""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
855,sleep apnoea syndrome,C0037315,10040979,Sleep apnoea syndrome,,"[""HP_0010535""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
856,sleep disorder,C0851578,10040984,Sleep disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
857,sluggishness,C0920289,10041052,Sluggishness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
858,sneezing,C0037383,10041232,Sneezing,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
859,snoring,C0037384,10041235,Snoring,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
860,somnambulism,C0037672,10041347,Somnambulism,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
861,somnolence,C2830004,10041349,Somnolence,meddra:10041349,[],sider_umls_pt,meddra_by_umls,False
862,speech disorder,C0037822,10041466,Speech disorder,,"[""HP_0002167""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
863,splenomegaly,C0038002,10041660,Splenomegaly,,"[""HP_0001744""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
864,sputum increased,C0235567,10041812,Sputum increased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
865,staphylococcal infection,C0038160,10058080,Staphylococcal infection,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
866,status epilepticus,C0038220,10041962,Status epilepticus,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
867,stevens johnson syndrome,,,,,[],,unresolved,True
868,sticky skin,C0392162,10051788,Sticky skin,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
869,stomatitis,C0038362,10042128,Stomatitis,meddra:10042128,[],sider_umls_pt,meddra_by_umls,False
870,bladder and urethral symptoms,,,,,[],,unresolved,True
871,wheezing,C0043144,10047924,Wheezing,,"[""HP_0030828""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
872,stupor,C0085628,10042264,Stupor,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
873,subarachnoid haemorrhage,C0038525,10042316,Subarachnoid haemorrhage,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
874,subdural haematoma,C0018946,10042361,Subdural haematoma,,"[""HP_0100309""]",exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
875,sudden death,C0011071,10042434,Sudden death,,"[""HP_0001699""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
876,suicidal ideation,C0424000,10042458,Suicidal ideation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
877,suicide attempt,C0038663,10042464,Suicide attempt,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
878,sunburn,C0038814,10042496,Sunburn,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
879,ectopic beats atrial,,,,,[],,unresolved,True
880,supraventricular tachycardia,C0039240,10042604,Supraventricular tachycardia,,"[""HP_0004755""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
881,swelling,C0038999,10042674,Swelling,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
882,swelling face,C0151602,10042682,Swelling face,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
883,syncope,C0039070,10042772,Syncope,meddra:10042772,"[""HP_0001279""]",sider_umls_pt,meddra_with_hpo_alias,False
884,systemic lupus erythematosus,C0024141,10042945,Systemic lupus erythematosus,,"[""HP_0002725""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
885,tachycardia,C0039231,10043071,Tachycardia,meddra:10043071,"[""HP_0001649""]",exact_meddra_pt_name,meddra_with_hpo_alias,False
886,respiration stimulated,,,,,[],,unresolved,True
887,tardive dyskinesia,C0686347,10043118,Tardive dyskinesia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
888,telangiectasia,C0039446,10043189,Telangiectasia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
889,temperature intolerance,C1112320,10057040,Temperature intolerance,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
890,tenderness,C0234233,10043224,Tenderness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
891,tendinous contracture,C0158350,10043233,Tendinous contracture,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
892,tendon disorder,C0151936,10043239,Tendon disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
893,tendonitis,C0039503,10043255,Tendonitis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
894,tendon sheath inflammation,,,,,[],,unresolved,True
895,tension,C0233494,10043268,Tension,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
896,tension headache,C0033893,10043269,Tension headache,,"[""HP_0012228""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
897,testicular pain,C0039591,10043345,Testicular pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
898,tetany,C0039621,10043380,Tetany,,"[""HP_0001281""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
899,therapeutic response unexpected,C0853141,10043417,Therapeutic response unexpected,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
900,thinking abnormal,C0233632,10043431,Thinking abnormal,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
901,thirst,C0039971,10043458,Thirst,meddra:10043458,[],sider_umls_pt,meddra_by_umls,False
902,throat irritation,C0700184,10043521,Throat irritation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
903,throat tightness,C0236071,10043528,Throat tightness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
904,thrombocytopenia,C0040034,10043554,Thrombocytopenia,meddra:10043554,"[""HP_0001873""]",sider_umls_pt,meddra_with_hpo_alias,False
905,platelets increase,,,,,[],,unresolved,True
906,thrombophlebitis,C0040046,10043570,Thrombophlebitis,,"[""HP_0004418""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
907,thrombosis,C0040053,10043607,Thrombosis,meddra:10043607,"[""HP_0001977""]",sider_umls_pt,meddra_with_hpo_alias,False
