matrix_index,drug_name,stitch_id,candidate_count,candidate_ids,mapping_status
277,furosemide,CIDm00003440,1,CHEMBL35,unique_exact
278,tizanidine,CIDm00005487,1,CHEMBL1079,unique_exact
279,eplerenone,CIDm00443872,1,CHEMBL1095097,unique_exact
280,amprenavir,CIDm00065016,1,CHEMBL116,unique_exact
281,naltrexone,CIDm05360515,1,CHEMBL19019,unique_exact
282,delavirdine,CIDm00005625,1,CHEMBL593,unique_exact
283,tamsulosin,CIDm00129211,1,CHEMBL836,unique_exact
284,porfimer.sodium,CIDm03086257,0,"",unmatched
285,sufentanil,CIDm00041693,1,CHEMBL658,unique_exact
286,lamivudine,CIDm00060825,2,CHEMBL141;RXNORM:68244,ambiguous_exact
287,ibandronic.acid,CIDm00060852,0,"",unmatched
288,apomorphine,CIDm00006005,1,CHEMBL53,unique_exact
289,paroxetine,CIDm00043815,1,CHEMBL490,unique_exact
290,adefovir.dipivoxil,CIDm00060871,0,"",unmatched
291,lisinopril,CIDm05362118,2,CHEMBL1237;CHEMBL419213,ambiguous_exact
292,imiquimod,CIDm00057469,1,CHEMBL1282,unique_exact
293,glyceryl.trinitrate,CIDm00004510,0,"",unmatched
294,nateglinide,CIDm05311309,1,CHEMBL783,unique_exact
295,risperidone,CIDm00005073,2,CHEMBL85;RXNORM:35636,ambiguous_exact
296,naftifine,CIDm00047641,2,CHEMBL626;DRUGBANK:DB00735,ambiguous_exact
297,esomeprazole,CIDm09579578,1,CHEMBL1201320,unique_exact
298,pentamidine.isethionate,CIDm00004735,0,"",unmatched
299,riluzole,CIDm00005070,2,CHEMBL744;RXNORM:35623,ambiguous_exact
300,hydrocortisone,CIDm00005754,1,CHEMBL389621,unique_exact
301,mannitol,CIDm00006251,1,CHEMBL689,unique_exact
302,gadobenic.acid,CIDm06918204,0,"",unmatched
303,modafinil,CIDm00004236,1,CHEMBL1373,unique_exact
304,deferoxamine,CIDm00002973,1,CHEMBL556,unique_exact
305,tretinoin,CIDm00444795,1,CHEMBL38,unique_exact
306,dolasetron,CIDm14476155,1,CHEMBL2368925,unique_exact
307,clopidogrel,CIDm00060606,1,CHEMBL1771,unique_exact
308,meropenem,CIDm00060706,1,CHEMBL127,unique_exact
309,irinotecan,CIDm00060837,1,CHEMBL481,unique_exact
310,olopatadine,CIDm05281071,1,CHEMBL1189432,unique_exact
311,alprostadil,CIDm06433212,1,CHEMBL495,unique_exact
312,etoposide,CIDm00036462,1,CHEMBL44657,unique_exact
313,tirofiban,CIDm00060946,1,CHEMBL916,unique_exact
314,oxcarbazepine,CIDm00034312,1,CHEMBL1068,unique_exact
315,estradiol,CIDm00005757,2,CHEMBL135;RXNORM:4083,ambiguous_exact
316,aciclovir,CIDm00002022,1,CHEMBL184,unique_exact
317,naproxen,CIDm00156391,1,CHEMBL154,unique_exact
318,perindopril,CIDm00107807,1,CHEMBL1581,unique_exact
319,sulfasalazine,CIDm05359476,1,CHEMBL421,unique_exact
320,tazarotene,CIDm00005381,1,CHEMBL1657,unique_exact
321,alfentanil,CIDm00051263,1,CHEMBL634,unique_exact
322,dicycloverine,CIDm00003042,1,CHEMBL1123,unique_exact
323,pentoxifylline,CIDm00004740,1,CHEMBL628,unique_exact
324,indapamide,CIDm00003702,1,CHEMBL406,unique_exact
325,ribavirin,CIDm00037542,1,CHEMBL1643,unique_exact
326,fentanyl,CIDm00003345,2,CHEMBL596;RXNORM:4337,ambiguous_exact
327,meloxicam,CIDm00004051,1,CHEMBL599,unique_exact
328,orciprenaline,CIDm00004086,1,CHEMBL776,unique_exact
329,tadalafil,CIDm00110635,1,CHEMBL779,unique_exact
330,fosfomycin,CIDm00073491,1,CHEMBL1757,unique_exact
331,diazepam,CIDm00003016,1,CHEMBL12,unique_exact
332,cefaclor,CIDm00051038,2,CHEMBL1201018;CHEMBL680,ambiguous_exact
333,mifepristone,CIDm00055245,1,CHEMBL1276308,unique_exact
334,donepezil,CIDm00003152,1,CHEMBL502,unique_exact
335,mercaptamine,CIDm00006058,1,CHEMBL602,unique_exact
336,dacarbazine,CIDm05353562,1,CHEMBL476,unique_exact
337,temozolomide,CIDm00005394,1,CHEMBL810,unique_exact
338,aminolevulinic.acid,CIDm00000137,0,"",unmatched
339,terbinafine,CIDm01549007,1,CHEMBL822,unique_exact
340,penicillamine,CIDm00005852,1,CHEMBL1430,unique_exact
341,vardenafil,CIDm00110634,2,CHEMBL1520;RXNORM:306674,ambiguous_exact
342,tacrolimus,CIDm00445643,2,CHEMBL269732;CHEMBL3989887,ambiguous_exact
343,terbutaline,CIDm00005403,1,CHEMBL1760,unique_exact
344,conivaptan,CIDm00151171,1,CHEMBL1755,unique_exact
345,eprosartan,CIDm05281037,1,CHEMBL813,unique_exact
346,sirolimus,CIDm05284616,1,CHEMBL413,unique_exact
347,emtricitabine,CIDm00060877,2,CHEMBL885;RXNORM:276237,ambiguous_exact
348,quinapril,CIDm00054891,1,CHEMBL1592,unique_exact
349,clomifene,CIDm01548954,1,CHEMBL2355051,unique_exact
350,risedronic.acid,CIDm00005245,0,"",unmatched
351,bumetanide,CIDm00002471,1,CHEMBL1072,unique_exact
352,chlormethine,CIDm00004033,1,CHEMBL427,unique_exact
353,granisetron,CIDm05284566,2,CHEMBL1290003;CHEMBL289469,ambiguous_exact
354,triazolam,CIDm00005556,1,CHEMBL646,unique_exact
355,remifentanil,CIDm00060814,1,CHEMBL1005,unique_exact
356,didanosine,CIDm00050599,1,CHEMBL1460,unique_exact
357,ondansetron,CIDm00004595,1,CHEMBL46,unique_exact
358,bimatoprost,CIDm05311027,1,CHEMBL1200963,unique_exact
359,tiagabine,CIDm00060648,1,CHEMBL1027,unique_exact
360,quinidine,CIDm00005768,1,CHEMBL1294,unique_exact
361,zonisamide,CIDm00005734,2,CHEMBL750;RXNORM:39998,ambiguous_exact
362,paricalcitol,CIDm05281104,1,CHEMBL1200622,unique_exact
363,tinidazole,CIDm00005479,1,CHEMBL1220,unique_exact
364,repaglinide,CIDm00065981,1,CHEMBL1272,unique_exact
365,amantadine,CIDm00002130,1,CHEMBL660,unique_exact
366,metronidazole,CIDm00004173,1,CHEMBL137,unique_exact
367,almotriptan,CIDm00123606,1,CHEMBL1505,unique_exact
368,buprenorphine,CIDm06321408,2,CHEMBL511142;CHEMBL560511,ambiguous_exact
369,levosimendan,CIDm03033825,1,CHEMBL2051955,unique_exact
370,cyclobenzaprine,CIDm00002895,1,CHEMBL669,unique_exact
371,famotidine,CIDm05702160,1,CHEMBL902,unique_exact
372,azacitidine,CIDm00009444,2,CHEMBL1489;RXNORM:1251,ambiguous_exact
373,misoprostol,CIDm05282381,1,CHEMBL606,unique_exact
374,colesevelam,CIDm00160051,2,CHEMBL1201473;DRUGBANK:DB00930,ambiguous_exact
375,tipranavir,CIDm00163296,1,CHEMBL222559,unique_exact
376,maprotiline,CIDm00004011,1,CHEMBL21731,unique_exact
377,salmeterol,CIDm00005152,1,CHEMBL1263,unique_exact
378,fulvestrant,CIDm00104741,1,CHEMBL1358,unique_exact
379,felbamate,CIDm00003331,1,CHEMBL1094,unique_exact
380,fexofenadine,CIDm00003348,1,CHEMBL914,unique_exact
381,naratriptan,CIDm00004440,2,CHEMBL1200601;CHEMBL1278,ambiguous_exact
382,rizatriptan,CIDm00005078,1,CHEMBL905,unique_exact
383,hydrocodone,CIDm05284569,1,CHEMBL1457,unique_exact
384,carboplatin,CIDm00038904,2,CHEMBL1351;DRUGBANK:DB00958,ambiguous_exact
385,pindolol,CIDm00004828,1,CHEMBL500,unique_exact
386,zaleplon,CIDm00005719,1,CHEMBL1521,unique_exact
387,apraclonidine,CIDm00002216,1,CHEMBL647,unique_exact
388,telmisartan,CIDm00065999,2,CHEMBL1017;RXNORM:73494,ambiguous_exact
389,desloratadine,CIDm00124087,2,CHEMBL1172;RXNORM:275635,ambiguous_exact
390,alosetron,CIDm00002099,1,CHEMBL1110,unique_exact
391,azelastine,CIDm00002267,1,CHEMBL639,unique_exact
392,ezetimibe,CIDm00150311,1,CHEMBL1138,unique_exact
393,dipyridamole,CIDm00003108,1,CHEMBL932,unique_exact
