matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
139,nisoldipine,CIDm00004499,CHEMBL1726,NISOLDIPINE,unique_exact,high,1,resolved
140,eszopiclone,CIDm00969472,CHEMBL1522,ESZOPICLONE,unique_exact,high,1,resolved
141,alprazolam,CIDm00002118,CHEMBL661,ALPRAZOLAM,unique_exact,high,1,resolved
142,loxapine,CIDm00003964,CHEMBL831,LOXAPINE,unique_exact,high,1,resolved
143,mupirocin,CIDm00446596,CHEMBL719,MUPIROCIN,canonical_name_disambiguation,high,2,resolved
144,rosiglitazone,CIDm00077998,CHEMBL121,ROSIGLITAZONE,unique_exact,high,1,resolved
145,pramipexole,CIDm00119569,CHEMBL301265,PRAMIPEXOLE,unique_exact,high,1,resolved
146,miglustat,CIDm00051634,CHEMBL1029,MIGLUSTAT,unique_exact,high,1,resolved
147,methylphenidate,CIDm00004158,CHEMBL796,METHYLPHENIDATE,unique_exact,high,1,resolved
148,hyoscyamine,CIDm00003661,CHEMBL1331216,HYOSCYAMINE,unique_exact,high,1,resolved
149,zolpidem,CIDm00005732,CHEMBL911,ZOLPIDEM,unique_exact,high,1,resolved
150,famciclovir,CIDm00003324,CHEMBL880,FAMCICLOVIR,unique_exact,high,1,resolved
151,streptozocin,CIDm00029327,CHEMBL1651906,STREPTOZOCIN,canonical_name_disambiguation,high,2,resolved
152,allopurinol,CIDm00002094,"","","","",2,ambiguous
153,ceftazidime,CIDm05481173,CHEMBL44354,CEFTAZIDIME,unique_exact,high,1,resolved
154,cerivastatin,CIDm00446156,CHEMBL1477,CERIVASTATIN,unique_exact,high,1,resolved
155,trimethoprim,CIDm00005578,CHEMBL22,TRIMETHOPRIM,unique_exact,high,1,resolved
156,gemcitabine,CIDm00060749,CHEMBL888,GEMCITABINE,unique_exact,high,1,resolved
157,entecavir,CIDm00153941,CHEMBL5314362,ENTECAVIR,canonical_name_disambiguation,high,2,resolved
158,teniposide,CIDm00452548,CHEMBL452231,TENIPOSIDE,unique_exact,high,1,resolved
159,epirubicin,CIDm00041867,CHEMBL417,EPIRUBICIN,unique_exact,high,1,resolved
160,lansoprazole,CIDm00003883,CHEMBL480,LANSOPRAZOLE,unique_exact,high,1,resolved
161,loratadine,CIDm00003957,CHEMBL998,LORATADINE,unique_exact,high,1,resolved
162,prazosin,CIDm00004893,CHEMBL2,PRAZOSIN,unique_exact,high,1,resolved
163,imipramine,CIDm00003696,CHEMBL11,IMIPRAMINE,unique_exact,high,1,resolved
164,acitretin,CIDm05284513,CHEMBL1131,ACITRETIN,unique_exact,high,1,resolved
165,verteporfin,CIDm05362420,CHEMBL5314346,VERTEPORFIN,canonical_name_disambiguation,high,2,resolved
166,nabumetone,CIDm00004409,CHEMBL1070,NABUMETONE,unique_exact,high,1,resolved
167,ketorolac,CIDm00003826,CHEMBL469,KETOROLAC,unique_exact,high,1,resolved
168,montelukast,CIDm05281040,CHEMBL787,MONTELUKAST,unique_exact,high,1,resolved
169,fluoxetine,CIDm00003386,CHEMBL41,FLUOXETINE,canonical_name_disambiguation,high,3,resolved
170,duloxetine,CIDm00060834,CHEMBL1175,DULOXETINE,unique_exact,high,1,resolved
171,rimantadine,CIDm00005071,CHEMBL959,RIMANTADINE,unique_exact,high,1,resolved
172,lenalidomide,CIDm00216326,"","","","",2,ambiguous
173,raloxifene,CIDm00005035,CHEMBL81,RALOXIFENE,unique_exact,high,1,resolved
174,celecoxib,CIDm00002662,CHEMBL118,CELECOXIB,unique_exact,high,1,resolved
175,brimonidine,CIDm00002435,CHEMBL844,BRIMONIDINE,unique_exact,high,1,resolved
176,dicloxacillin,CIDm00018381,CHEMBL893,DICLOXACILLIN,unique_exact,high,1,resolved
177,nabilone,CIDm00039860,CHEMBL2218896,NABILONE,canonical_name_disambiguation,high,2,resolved
178,sotalol,CIDm00005253,CHEMBL471,SOTALOL,unique_exact,high,1,resolved
179,buspirone,CIDm00002477,CHEMBL49,BUSPIRONE,unique_exact,high,1,resolved
180,fosinopril,CIDm00055891,CHEMBL3039598,FOSINOPRIL,unique_exact,high,1,resolved
181,entacapone,CIDm05281081,"","","","",2,ambiguous
182,zidovudine,CIDm00035370,CHEMBL129,ZIDOVUDINE,unique_exact,high,1,resolved
183,darifenacin,CIDm00444030,CHEMBL1346,DARIFENACIN,unique_exact,high,1,resolved
184,oxycodone,CIDm05284603,CHEMBL656,OXYCODONE,unique_exact,high,1,resolved
185,flutamide,CIDm00003397,CHEMBL806,FLUTAMIDE,unique_exact,high,1,resolved
186,cimetidine,CIDm00002756,CHEMBL30,CIMETIDINE,unique_exact,high,1,resolved
187,haloperidol,CIDm00003559,CHEMBL54,HALOPERIDOL,unique_exact,high,1,resolved
188,ritonavir,CIDm00392622,"","","","",2,ambiguous
189,nitazoxanide,CIDm00041684,CHEMBL1401,NITAZOXANIDE,unique_exact,high,1,resolved
190,vancomycin,CIDm00014969,CHEMBL262777,VANCOMYCIN,unique_exact,high,1,resolved
191,dextromethorphan,CIDm05360696,CHEMBL52440,DEXTROMETHORPHAN,unique_exact,high,1,resolved
192,albendazole,CIDm00002082,CHEMBL1483,ALBENDAZOLE,unique_exact,high,1,resolved
193,trandolapril,CIDm05484727,CHEMBL1519,TRANDOLAPRIL,unique_exact,high,1,resolved
194,caspofungin,CIDm02826718,"","","","",2,ambiguous
195,alitretinoin,CIDm00449171,CHEMBL705,ALITRETINOIN,unique_exact,high,1,resolved
196,metolazone,CIDm00004170,CHEMBL878,METOLAZONE,unique_exact,high,1,resolved
197,oxaliplatin,CIDm00004609,"","","","",2,ambiguous
198,lercanidipine,CIDm00065866,CHEMBL250270,LERCANIDIPINE,unique_exact,high,1,resolved
199,foscarnet,CIDm00003414,CHEMBL666,FOSCARNET,unique_exact,high,1,resolved
200,erlotinib,CIDm00176870,"","","","",2,ambiguous
201,cyclophosphamide,CIDm00002907,CHEMBL1200796,CYCLOPHOSPHAMIDE,canonical_name_disambiguation,high,2,resolved
202,rofecoxib,CIDm00005090,CHEMBL122,ROFECOXIB,unique_exact,high,1,resolved
203,ciprofloxacin,CIDm00002764,CHEMBL8,CIPROFLOXACIN,unique_exact,high,1,resolved
204,gadoversetamide,CIDm00444013,"","","","",0,unmatched
205,toremifene,CIDm03005572,CHEMBL1655,TOREMIFENE,unique_exact,high,1,resolved
206,vincristine,CIDm06324671,CHEMBL90555,VINCRISTINE,canonical_name_disambiguation,high,2,resolved
207,benazepril,CIDm05362123,CHEMBL838,BENAZEPRIL,unique_exact,high,1,resolved
208,fluorouracil,CIDm00003385,CHEMBL185,FLUOROURACIL,unique_exact,high,1,resolved
209,pyridostigmine,CIDm00004991,CHEMBL1115,PYRIDOSTIGMINE,unique_exact,high,1,resolved
210,azelaic.acid,CIDm00002266,CHEMBL1238,AZELAIC ACID,dot_normalized_exact,high,1,resolved
211,zafirlukast,CIDm00005717,CHEMBL603,ZAFIRLUKAST,unique_exact,high,1,resolved
212,pentostatin,CIDm00439693,CHEMBL1580,PENTOSTATIN,unique_exact,high,1,resolved
213,piroxicam,CIDm23690938,CHEMBL527,PIROXICAM,unique_exact,high,1,resolved
214,lamotrigine,CIDm00003878,CHEMBL741,LAMOTRIGINE,unique_exact,high,1,resolved
215,zanamivir,CIDm00060855,CHEMBL222813,ZANAMIVIR,unique_exact,high,1,resolved
216,bosentan,CIDm00104865,"","","","",2,ambiguous
217,tigecycline,CIDm54686904,CHEMBL376140,TIGECYCLINE,unique_exact,high,1,resolved
218,methotrexate,CIDm00126941,"","","","",2,ambiguous
219,carbamazepine,CIDm00002554,CHEMBL108,CARBAMAZEPINE,unique_exact,high,1,resolved
220,cisatracurium,CIDm00062886,CHEMBL1201248,CISATRACURIUM,unique_exact,high,1,resolved
221,fondaparinux,CIDm00636380,CHEMBL1201202,FONDAPARINUX,unique_exact,high,1,resolved
222,propranolol,CIDm00004946,"","","","",2,ambiguous
