matrix_index,side_effect_name,optimuskg_id,optimuskg_name,ontology_namespace,matched_field,properties.code,properties.umls_cui,properties.concept_ids,properties.xrefs,properties.snomed_concept_ids
537,leukocytosis,HP_0001974,Leukocytosis,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001974,C0023518,"[""21000900""]","[""UMLS:C0023518"",""SNOMEDCT_US:111583006""]","[""111583006.0""]"
538,vitiligo,HP_0001045,Vitiligo,HPO,properties.name,"","",[],[],[]
539,leukopenia,HP_0001882,Leukopenia,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001882,C0023530,"[""21000886"",""40249746""]","[""UMLS:C0023530"",""SNOMEDCT_US:84828003""]","[""84828003.0""]"
551,loss of consciousness,HP_0007185,Loss of consciousness,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0007185,C0041657,"[""21003037""]","[""SNOMEDCT_US:419045004"",""UMLS:C0041657"",""SNOMEDCT_US:418107008""]","[""418107008.0""]"
553,lower respiratory tract infection,HP_0002783,Recurrent lower respiratory tract infections,HPO,properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002783,C0149725,"[""21001924""]","[""UMLS:C0149725"",""SNOMEDCT_US:448739000"",""UMLS:C0585953"",""SNOMEDCT_US:50417007"",""UMLS:C3163798""]","[""50417007.0""]"
557,lymphadenopathy,HP_0002716,Lymphadenopathy,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002716,C0497156,"[""21003187""]","[""UMLS:C0497156"",""SNOMEDCT_US:30746006""]","[""30746006.0""]"
564,malaise,HP_0033834,Malaise,HPO,properties.name,"","",[],[],[]
564,malaise,meddra:10025482,Malaise,MEDDRA,properties.name,"","",[],[],[]
566,malnutrition,HP_0004395,Malnutrition,HPO,properties.name,"","",[],[],[]
567,mania,HP_0100754,Mania,HPO,properties.name,"","",[],[],[]
567,mania,meddra:10026749,Mania,MEDDRA,properties.name,"","",[],[],[]
568,mastitis,HP_0040407,Mastitis,HPO,properties.name,"","",[],[],[]
572,memory impairment,HP_0002354,Memory impairment,HPO,properties.name,"","",[],[],[]
573,meningitis,HP_0001287,Meningitis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001287,C0025289,"[""21001044""]","[""SNOMEDCT_US:7180009"",""UMLS:C0025289""]","[""7180009.0""]"
576,menorrhagia,HP_0000132,Menorrhagia,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000132,C0025323,"[""21002502""]","[""SNOMEDCT:386692008"",""SNOMEDCT_US:386692008"",""NCIt:C26829"",""ICD10:N92"",""UMLS:C0025323""]","[""386692008.0""]"
581,metabolic acidosis,HP_0001942,Metabolic acidosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001942,C0220981,"[""21000742""]","[""UMLS:C0220981"",""SNOMEDCT_US:59455009""]","[""59455009.0""]"
585,migraine,HP_0002076,Migraine,HPO,properties.name,"","",[],[],[]
586,miosis,HP_0000616,Miosis,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000616,"",[],"[""SNOMEDCT_US:63251006"",""UMLS:C0026205""]",[]
588,mood swings,HP_0000712,Emotional lability,HPO,properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000712,C0085633,"[""21000955""]","[""SNOMEDCT_US:18963009"",""UMLS:C0085633""]","[""18963009.0""]"
591,movement disorder,HP_0100022,Abnormality of movement,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0100022,"",[],"[""ICD10:R25"",""UMLS:C0026650"",""SNOMEDCT_US:60342002""]",[]
594,multiple fractures,HP_0002757,Recurrent fractures,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002757,"",[],"[""UMLS:C3806283"",""UMLS:C0016655"",""SNOMEDCT_US:5468008"",""SNOMEDCT_US:134291007"",""UMLS:C3805574"",""UMLS:C1833752""]",[]
595,muscle atrophy,HP_0003202,Skeletal muscle atrophy,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0003202,"",[],"[""UMLS:C0234958"",""UMLS:C0541794"",""UMLS:C1843479"",""SNOMEDCT_US:74035001"",""UMLS:C0270948""]",[]
598,muscle rigidity,HP_0002063,Rigidity,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002063,"",[],"[""SNOMEDCT_US:16046003"",""UMLS:C0026837""]",[]
599,muscle spasms,HP_0003394,Muscle spasm,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0003394,"",[],"[""UMLS:C0026821"",""SNOMEDCT_US:55300003""]",[]
