matrix_index,drug_name,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers,identity_class
388,telmisartan,CHEMBL1017,TELMISARTAN,properties.name;properties.synonyms;properties.trade_names,RMMXLENWKUUMAY-UHFFFAOYSA-N,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,"[""DB00966"",""telmisartan"",""9434"",""human/EPAR/micardis""]",[],insufficient_structure
388,telmisartan,RXNORM:73494,telmisartan,properties.name,"","",[],[],insufficient_structure
389,desloratadine,CHEMBL1172,DESLORATADINE,properties.name;properties.synonyms;properties.trade_names,JAUOIFJMECXRGI-UHFFFAOYSA-N,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,"[""DB00967"",""291342"",""human/EPAR/neoclarityn"",""desloratadine""]",[],insufficient_structure
389,desloratadine,RXNORM:275635,desloratadine,properties.name,"","",[],[],insufficient_structure
398,formoterol,CHEMBL1256786,FORMOTEROL,properties.name;properties.synonyms,BPZSYCZIITTYBL-UHFFFAOYSA-N,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,"[""63082"",""DB00983""]",[],insufficient_structure
398,formoterol,RXNORM:25255,formoterol,properties.name,"","",[],[],insufficient_structure
405,auranofin,CHEMBL1366,AURANOFIN,properties.name;properties.synonyms,"","","[""2922"",""auranofin""]",[],insufficient_structure
405,auranofin,DRUGBANK:DB00995,Auranofin,properties.name;properties.synonyms,AUJRCFUBUPVWSZ-XTZHGVARSA-M,"",[],"[""APRD00808""]",insufficient_structure
409,hydrochlorothiazide,CHEMBL435,HYDROCHLOROTHIAZIDE,properties.name;properties.synonyms;properties.trade_names,JZUFKLXOESDKRF-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,"[""DB00999"",""hydrochlorothiazide"",""5778""]",[],insufficient_structure
409,hydrochlorothiazide,RXNORM:5487,hydrochlorothiazide,properties.name,"","",[],[],insufficient_structure
418,cinacalcet,CHEMBL1201284,CINACALCET,properties.name;properties.synonyms,VDHAWDNDOKGFTD-MRXNPFEDSA-N,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,"[""48390"",""DB01012""]",[],insufficient_structure
418,cinacalcet,RXNORM:407990,cinacalcet,properties.name,"","",[],[],insufficient_structure
433,memantine,CHEMBL807,MEMANTINE,properties.name;properties.synonyms,BUGYDGFZZOZRHP-UHFFFAOYSA-N,CC12CC3CC(C)(C1)CC(N)(C3)C2,"[""DB01043"",""64312""]",[],insufficient_structure
433,memantine,RXNORM:6719,memantine,properties.name,"","",[],[],insufficient_structure
437,abacavir,CHEMBL1380,ABACAVIR,properties.name;properties.synonyms,MCGSCOLBFJQGHM-SCZZXKLOSA-N,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,"[""DB01048"",""421707""]",[],insufficient_structure
437,abacavir,RXNORM:190521,abacavir,properties.name,"","",[],[],insufficient_structure
448,vigabatrin,CHEMBL89598,VIGABATRIN,properties.name;properties.synonyms,PJDFLNIOAUIZSL-UHFFFAOYSA-N,C=CC(N)CCC(=O)O,"[""vigabatrin"",""DB01080"",""63638"",""human/EPAR/kigabeq""]",[],insufficient_structure
448,vigabatrin,RXNORM:14851,vigabatrin,properties.name,"","",[],[],insufficient_structure
459,heparin,CHEMBL4650299,HEPARIN,properties.name;properties.synonyms,"","",[],[],insufficient_structure
459,heparin,DRUGBANK:DB01109,Heparin,properties.name,"","",[],"[""APRD00056""]",insufficient_structure
467,pioglitazone,CHEMBL595,PIOGLITAZONE,properties.name;properties.synonyms,HYAFETHFCAUJAY-UHFFFAOYSA-N,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,"[""DB01132"",""8228""]",[],insufficient_structure
467,pioglitazone,RXNORM:33738,pioglitazone,properties.name,"","",[],[],insufficient_structure
480,itraconazole,CHEMBL64391,ITRACONAZOLE,properties.name;properties.synonyms;properties.trade_names,VHVPQPYKVGDNFY-UHFFFAOYSA-N,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,"[""veterinary/EPAR/fungitraxx"",""itraconazole""]",[],mixed_identity
