matrix_index,side_effect_name,sider_umls_cui,optimuskg_match_count,meddra_match_count,hpo_match_count,canonical_optimuskg_id,alias_optimuskg_ids,mapping_status
449,high glycerin three ester blood,"",0,0,0,"",[],no_sider_umls
450,high uric acid blood,"",0,0,0,"",[],no_sider_umls
451,hyperventilation,C0020578,1,0,1,HP_0002883,[],umls_unique_other
452,body numbness,"",0,0,0,"",[],no_sider_umls
453,body numbness oral,"",0,0,0,"",[],no_sider_umls
454,low albumin blood,"",0,0,0,"",[],no_sider_umls
455,low calcium blood,"",0,0,0,"",[],no_sider_umls
456,low chlorine blood,"",0,0,0,"",[],no_sider_umls
457,chlorosis,"",0,0,0,"",[],no_sider_umls
458,hypoglycemia,"",0,0,0,"",[],no_sider_umls
459,drenching sweats,"",0,0,0,"",[],no_sider_umls
460,potassium deficiency,"",0,0,0,"",[],no_sider_umls
461,activity motor retarded,"",0,0,0,"",[],no_sider_umls
462,low magnesium blood,"",0,0,0,"",[],no_sider_umls
463,hypomania,C0241934,0,0,0,"",[],umls_no_optimuskg_match
464,low sodium blood,"",0,0,0,"",[],no_sider_umls
465,phosphorus low blood,"",0,0,0,"",[],no_sider_umls
466,potassium deficiency,"",0,0,0,"",[],no_sider_umls
467,diminished reflexes,"",0,0,0,"",[],no_sider_umls
468,hypotension,C0020649,0,0,0,"",[],umls_no_optimuskg_match
469,hypothermia,C0413252,0,0,0,"",[],umls_no_optimuskg_match
470,hypothyroidism,C0020676,0,0,0,"",[],umls_no_optimuskg_match
471,hypotonia,C0026827,1,0,1,HP_0001252,[],umls_unique_other
472,hypoventilation,C3203358,1,0,1,HP_0002791,[],umls_unique_other
473,hypoxia,C0242184,0,0,0,"",[],umls_no_optimuskg_match
474,ileus,C1258215,0,0,0,"",[],umls_no_optimuskg_match
475,ileus paralytic,C0030446,1,0,1,HP_0002590,[],umls_unique_other
476,ill-defined disorder,C2047937,0,0,0,"",[],umls_no_optimuskg_match
477,immune system disorder,C0021053,0,0,0,"",[],umls_no_optimuskg_match
478,impaired gastric emptying,C0522063,0,0,0,"",[],umls_no_optimuskg_match
479,impaired healing,C0151692,0,0,0,"",[],umls_no_optimuskg_match
480,impetigo,C0021099,0,0,0,"",[],umls_no_optimuskg_match
481,inappropriate antidiuretic hormone secretion,C0021141,0,0,0,"",[],umls_no_optimuskg_match
482,incontinence,C0021167,0,0,0,"",[],umls_no_optimuskg_match
483,increased appetite,C0232461,1,0,1,HP_0002591,[],umls_unique_other
