matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
513,intraocular pressure increased,C0234708,10022806,Intraocular pressure increased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
514,iris inflammation,,,,,[],,unresolved,True
515,iron deficiency anaemia,C0162316,10022972,Iron deficiency anaemia,,"[""HP_0001891""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
517,irritable bowel syndrome,C0022104,10023003,Irritable bowel syndrome,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
518,ischaemia,C0022116,10061255,Ischaemia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
520,obstructive jaundice,,,,,[],,unresolved,True
521,joint stiffness,C0162298,10023230,Joint stiffness,,"[""HP_0001387""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
522,joint swelling,C0152031,10023232,Joint swelling,,"[""HP_0001386""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
523,keratitis,C0022568,10023332,Keratitis,,"[""HP_0000491""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
524,ketosis,C0022638,10023391,Ketosis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
525,laboratory test abnormal,C0438215,10023547,Laboratory test abnormal,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
526,inner ear infection,,,,,[],,unresolved,True
527,laceration,C0043246,10023572,Laceration,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
528,lacrimal disorder,C0022904,10061525,Lacrimal disorder,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
529,lacrimal structural disorder,C3495920,10072746,Lacrimal structural disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
530,lacrimation increased,C0152227,10023644,Lacrimation increased,,"[""HP_0009926""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
532,laryngeal oedema,C0023052,10023845,Laryngeal oedema,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
533,laryngeal pain,C0549373,10023848,Laryngeal pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
534,laryngitis,C0023067,10023874,Laryngitis,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
535,laryngeal spasm,,,,,[],,unresolved,True
536,lethargy,C0023380,10024264,Lethargy,,"[""HP_0001254""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
537,leukocytosis,C0023518,10024378,Leukocytosis,,"[""HP_0001974""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
538,vitiligo,C0042900,10047642,Vitiligo,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
539,leukopenia,C0023530,10024384,Leukopenia,,"[""HP_0001882""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
540,libido decreased,C0011124,10024419,Libido decreased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
541,libido disorder,C0854382,10061221,Libido disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
542,libido increased,C0021177,10024421,Libido increased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
543,mossy keratosis,,,,,[],,unresolved,True
544,ligament sprain,C0435002,10024453,Ligament sprain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
545,lipase increased,C0549475,10024574,Lipase increased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
546,lipodystrophy acquired,C0877192,10049287,Lipodystrophy acquired,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
547,liver disorder,C0023895,10024670,Liver disorder,,"[""HP_0001392""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
548,liver function test abnormal,C0151766,10024690,Liver function test abnormal,,"[""HP_0002910""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
549,liver injury,C0160390,10067125,Liver injury,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
550,local swelling,C0853619,10024770,Local swelling,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
551,loss of consciousness,C0041657,10024855,Loss of consciousness,,"[""HP_0007185""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
552,loss of libido,C2981158,10024870,Loss of libido,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
553,lower respiratory tract infection,C0149725,10024968,Lower respiratory tract infection,,"[""HP_0002783""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
554,lung disorder,C0024115,10025082,Lung disorder,,"[""HP_0002088""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
555,lung infection,C0876973,10061229,Lung infection,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
556,lung infiltration,C0235896,10025102,Lung infiltration,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
557,lymphadenopathy,C0497156,10025197,Lymphadenopathy,,"[""HP_0002716""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
558,lymphocyte count decreased,C0853986,10025256,Lymphocyte count decreased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
559,lymphocyte excess,,,,,[],,unresolved,True
560,lymph edema,,,,,[],,unresolved,True
561,lymph tumor,,,,,[],,unresolved,True
562,lymph cell cut back,,,,,[],,unresolved,True
563,major depression,C1269683,10057840,Major depression,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
565,malignant melanoma,C0025202,10025650,Malignant melanoma,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
566,malnutrition,C0162429,10061273,Malnutrition,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
568,mastitis,C0024894,10026883,Mastitis,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
569,mediastinal disorder,C0025061,10061280,Mediastinal disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
570,blood clot excretion,,,,,[],,unresolved,True
571,melanosis,C0025209,10027157,Melanosis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
572,memory impairment,C0233794,10027175,Memory impairment,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
573,meningitis,C0025289,10027199,Meningitis,,"[""HP_0001287""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
574,menopausal symptoms,C0236075,10027304,Menopausal symptoms,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
575,menopause,C0025320,10027308,Menopause,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
576,menorrhagia,C0025323,10027313,Menorrhagia,,"[""HP_0000132""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
577,menstrual disorder,C0025345,10027327,Menstrual disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
578,menstruation irregular,C0156404,10027339,Menstruation irregular,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
579,mental disability,C1306341,10027353,Mental disability,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
580,mental disorder,C0004936,10061284,Mental disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
581,metabolic acidosis,C0220981,10027417,Metabolic acidosis,,"[""HP_0001942""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
582,break through bleeding,,,,,[],,unresolved,True
583,urination disorder,,,,,[],,unresolved,True
584,urination urgency,,,,,[],,unresolved,True
585,migraine,C0149931,10027599,Migraine,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
586,miosis,C0026205,10027646,Miosis,,"[""HP_0000616""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
587,single core cell increase,,,,,[],,unresolved,True
588,mood swings,C0085633,10027951,Mood swings,,"[""HP_0000712""]",exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
589,motion sickness,C0026603,10027990,Motion sickness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
590,mouth ulceration,C0149745,10028034,Mouth ulceration,,"[""HP_0000155""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
591,movement disorder,C0026650,10028035,Movement disorder,,"[""HP_0100022""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
592,mucosal inflammation,C0333355,10028116,Mucosal inflammation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
593,mucous membrane disorder,C0151785,10028133,Mucous membrane disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
594,multiple fractures,C0016655,10028200,Multiple fractures,,"[""HP_0002757""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
595,muscle atrophy,C0026846,10028289,Muscle atrophy,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
596,muscle contractions involuntary,C0235086,10028293,Muscle contractions involuntary,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
597,muscle relaxant therapy,C1142135,10058909,Muscle relaxant therapy,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
598,muscle rigidity,C0026837,10028330,Muscle rigidity,,"[""HP_0002063""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
600,muscle tightness,C0877322,10049816,Muscle tightness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
601,muscle twitching,C0231530,10028347,Muscle twitching,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
603,musculoskeletal chest pain,C0476280,10050819,Musculoskeletal chest pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
604,musculoskeletal discomfort,C0948594,10053156,Musculoskeletal discomfort,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
606,musculoskeletal stiffness,C0948525,10052904,Musculoskeletal stiffness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
