matrix_index,drug_name,stitch_id,stitch_found,distinct_stitch_inchikey_count,optimuskg_structure_match_count,optimuskg_structure_match_ids,structure_status
240,rifabutin,CIDm06323490,false,0,0,[],stitch_not_found
241,imatinib,CIDm00005291,true,57,2,"[""CHEMBL1642"",""CHEMBL941""]",multiple_structure_matches
242,triamcinolone,CIDm00031307,false,0,0,[],stitch_not_found
243,testosterone,CIDm00006013,false,0,0,[],stitch_not_found
244,efavirenz,CIDm00064139,false,0,0,[],stitch_not_found
245,alendronic.acid,CIDm00002088,true,96,2,"[""CHEMBL675"",""CHEMBL870""]",multiple_structure_matches
246,clofarabine,CIDm00119182,true,26,1,"[""CHEMBL1750""]",unique_structure_match
247,dexmedetomidine,CIDm05311068,false,0,0,[],stitch_not_found
248,adenosine,CIDm00060961,false,0,0,[],stitch_not_found
249,simvastatin,CIDm00054454,true,188,1,"[""CHEMBL1064""]",unique_structure_match
250,pemetrexed,CIDm00060843,true,43,2,"[""CHEMBL225072"",""CHEMBL2360464""]",multiple_structure_matches
251,gonadorelin,CIDm00036523,true,24,4,"[""CHEMBL1007"",""CHEMBL1200511"",""CHEMBL1200516"",""CHEMBL1981292""]",multiple_structure_matches
252,stavudine,CIDm00018283,false,0,0,[],stitch_not_found
253,calcium.folinate,CIDm00006006,false,0,0,[],stitch_not_found
254,latanoprost,CIDm05311221,false,0,0,[],stitch_not_found
255,estrone,CIDm03001028,false,0,0,[],stitch_not_found
256,trazodone,CIDm00005533,true,73,2,"[""CHEMBL1200798"",""CHEMBL621""]",multiple_structure_matches
257,sevelamer,CIDm03085017,true,3,1,"[""DRUGBANK:DB00658""]",unique_structure_match
258,acamprosate,CIDm00071158,true,54,2,"[""CHEMBL1201293"",""CHEMBL2068724""]",multiple_structure_matches
259,verapamil,CIDm00002520,true,123,3,"[""CHEMBL1280"",""CHEMBL197"",""CHEMBL6966""]",multiple_structure_matches
260,nilutamide,CIDm00004493,true,4,1,"[""CHEMBL1274""]",unique_structure_match
261,nafarelin,CIDm25077649,false,0,0,[],stitch_not_found
262,sumatriptan,CIDm00005358,true,412,2,"[""CHEMBL1201150"",""CHEMBL128""]",multiple_structure_matches
263,cefixime,CIDm06321411,false,0,0,[],stitch_not_found
264,aprepitant,CIDm00151165,true,28,1,"[""CHEMBL1471""]",unique_structure_match
265,galantamine,CIDm00009651,false,0,0,[],stitch_not_found
266,tamoxifen,CIDm02733525,false,0,0,[],stitch_not_found
267,losartan,CIDm00003961,true,48,2,"[""CHEMBL191"",""CHEMBL995""]",multiple_structure_matches
268,amphotericin.B,CIDm05280965,false,0,0,[],stitch_not_found
269,midazolam,CIDm00004192,true,30,2,"[""CHEMBL1200420"",""CHEMBL655""]",multiple_structure_matches
270,tobramycin,CIDm00036294,false,0,0,[],stitch_not_found
271,trovafloxacin,CIDm00062959,true,19,0,[],stitch_found_no_optimuskg_match
272,pentosan.polysulfate.sodium,CIDm00037720,true,2,1,"[""CHEMBL4073796""]",unique_structure_match
273,moexipril,CIDm00055331,true,12,1,"[""CHEMBL1201405""]",unique_structure_match
274,phentolamine,CIDm00005775,true,12,2,"[""CHEMBL1200873"",""CHEMBL597""]",multiple_structure_matches
275,fluorescein,CIDm00016850,true,46,1,"[""CHEMBL1057""]",unique_structure_match
276,daunorubicin,CIDm00030323,false,0,0,[],stitch_not_found
277,furosemide,CIDm00003440,true,14,1,"[""CHEMBL35""]",unique_structure_match
