matrix_index,side_effect_name,sider_umls_cui,optimuskg_id,optimuskg_name,ontology_namespace,optimuskg_umls_cui,optimuskg_code,is_meddra,was_previous_name_candidate
409,hepatitis,C0019158,HP_0012115,Hepatitis,HPO,C0019158,http://purl.obolibrary.org/obo/HP_0012115,false,true
413,hepatomegaly,C0019209,HP_0002240,Hepatomegaly,HPO,C0019209,http://purl.obolibrary.org/obo/HP_0002240,false,true
415,hernia,C0019270,HP_0100790,Hernia,HPO,"",http://purl.obolibrary.org/obo/HP_0100790,false,true
419,hiatus hernia,C3489393,HP_0002036,Hiatus hernia,HPO,C3489393,http://purl.obolibrary.org/obo/HP_0002036,false,true
421,hirsutism,C0019572,HP_0001007,Hirsutism,HPO,"",http://purl.obolibrary.org/obo/HP_0001007,false,true
432,hyperhidrosis,C0020458,HP_0000975,Hyperhidrosis,HPO,C0020458,http://purl.obolibrary.org/obo/HP_0000975,false,true
434,hyperkeratosis,C0870082,HP_0000962,Hyperkeratosis,HPO,C0870082,http://purl.obolibrary.org/obo/HP_0000962,false,true
445,hypertension,C0020538,HP_0000822,Hypertension,HPO,C0020538,http://purl.obolibrary.org/obo/HP_0000822,false,true
448,hypertrichosis,C0020555,HP_0000998,Hypertrichosis,HPO,"",http://purl.obolibrary.org/obo/HP_0000998,false,true
451,hyperventilation,C0020578,HP_0002883,Hyperventilation,HPO,"",http://purl.obolibrary.org/obo/HP_0002883,false,true
471,hypotonia,C0026827,HP_0001252,Hypotonia,HPO,"",http://purl.obolibrary.org/obo/HP_0001252,false,true
472,hypoventilation,C3203358,HP_0002791,Hypoventilation,HPO,C0235063,http://purl.obolibrary.org/obo/HP_0002791,false,true
475,ileus paralytic,C0030446,HP_0002590,Paralytic ileus,HPO,C0030446,http://purl.obolibrary.org/obo/HP_0002590,false,false
483,increased appetite,C0232461,HP_0002591,Polyphagia,HPO,"",http://purl.obolibrary.org/obo/HP_0002591,false,true
485,increased tendency to bruise,C0423798,HP_0000978,Bruising susceptibility,HPO,"",http://purl.obolibrary.org/obo/HP_0000978,false,false
509,interstitial lung disease,C0206062,HP_0006530,Abnormal pulmonary interstitial morphology,HPO,C0206062,http://purl.obolibrary.org/obo/HP_0006530,false,true
512,intracranial pressure increased,C0151740,HP_0002516,Increased intracranial pressure,HPO,C0151740,http://purl.obolibrary.org/obo/HP_0002516,false,false
515,iron deficiency anaemia,C0162316,HP_0001891,Iron deficiency anemia,HPO,C0162316,http://purl.obolibrary.org/obo/HP_0001891,false,true
519,jaundice,C0022346,HP_0000952,Jaundice,HPO,C0022346,http://purl.obolibrary.org/obo/HP_0000952,false,true
521,joint stiffness,C0162298,HP_0001387,Joint stiffness,HPO,"",http://purl.obolibrary.org/obo/HP_0001387,false,true
522,joint swelling,C0152031,HP_0001386,Joint swelling,HPO,"",http://purl.obolibrary.org/obo/HP_0001386,false,true
523,keratitis,C0022568,HP_0000491,Keratitis,HPO,C0022568,http://purl.obolibrary.org/obo/HP_0000491,false,true
530,lacrimation increased,C0152227,HP_0009926,Epiphora,HPO,"",http://purl.obolibrary.org/obo/HP_0009926,false,false
531,lactic acidosis,C0001125,HP_0003128,Lactic acidosis,HPO,C0001125,http://purl.obolibrary.org/obo/HP_0003128,false,true
536,lethargy,C0023380,HP_0001254,Lethargy,HPO,"",http://purl.obolibrary.org/obo/HP_0001254,false,true
537,leukocytosis,C0023518,HP_0001974,Leukocytosis,HPO,C0023518,http://purl.obolibrary.org/obo/HP_0001974,false,true
539,leukopenia,C0023530,HP_0001882,Leukopenia,HPO,C0023530,http://purl.obolibrary.org/obo/HP_0001882,false,true
547,liver disorder,C0023895,HP_0001392,Abnormality of the liver,HPO,C0023895,http://purl.obolibrary.org/obo/HP_0001392,false,false
548,liver function test abnormal,C0151766,HP_0002910,Elevated circulating hepatic transaminase concentration,HPO,"",http://purl.obolibrary.org/obo/HP_0002910,false,false
551,loss of consciousness,C0041657,HP_0007185,Loss of consciousness,HPO,C0041657,http://purl.obolibrary.org/obo/HP_0007185,false,true
553,lower respiratory tract infection,C0149725,HP_0002783,Recurrent lower respiratory tract infections,HPO,C0149725,http://purl.obolibrary.org/obo/HP_0002783,false,true
554,lung disorder,C0024115,HP_0002088,Abnormal lung morphology,HPO,"",http://purl.obolibrary.org/obo/HP_0002088,false,false
557,lymphadenopathy,C0497156,HP_0002716,Lymphadenopathy,HPO,C0497156,http://purl.obolibrary.org/obo/HP_0002716,false,true
573,meningitis,C0025289,HP_0001287,Meningitis,HPO,C0025289,http://purl.obolibrary.org/obo/HP_0001287,false,true
576,menorrhagia,C0025323,HP_0000132,Menorrhagia,HPO,C0025323,http://purl.obolibrary.org/obo/HP_0000132,false,true
581,metabolic acidosis,C0220981,HP_0001942,Metabolic acidosis,HPO,C0220981,http://purl.obolibrary.org/obo/HP_0001942,false,true
586,miosis,C0026205,HP_0000616,Miosis,HPO,"",http://purl.obolibrary.org/obo/HP_0000616,false,true
588,mood swings,C0085633,HP_0000712,Emotional lability,HPO,C0085633,http://purl.obolibrary.org/obo/HP_0000712,false,true
590,mouth ulceration,C0149745,HP_0000155,Oral ulcer,HPO,"",http://purl.obolibrary.org/obo/HP_0000155,false,false
591,movement disorder,C0026650,HP_0100022,Abnormality of movement,HPO,"",http://purl.obolibrary.org/obo/HP_0100022,false,true
594,multiple fractures,C0016655,HP_0002757,Recurrent fractures,HPO,"",http://purl.obolibrary.org/obo/HP_0002757,false,true
598,muscle rigidity,C0026837,HP_0002063,Rigidity,HPO,"",http://purl.obolibrary.org/obo/HP_0002063,false,true
602,muscular weakness,C0151786,HP_0001324,Muscle weakness,HPO,C0151786,http://purl.obolibrary.org/obo/HP_0001324,false,true
607,myalgia,C0231528,HP_0003326,Myalgia,HPO,"",http://purl.obolibrary.org/obo/HP_0003326,false,true
608,mydriasis,C0026961,HP_0011499,Mydriasis,HPO,C0026961,http://purl.obolibrary.org/obo/HP_0011499,false,true
613,myoclonus,C0027066,HP_0001336,Myoclonus,HPO,C0027066,http://purl.obolibrary.org/obo/HP_0001336,false,true
614,myopathy,C0026848,HP_0003198,Myopathy,HPO,C0026848,http://purl.obolibrary.org/obo/HP_0003198,false,true
616,nail disorder,C0027339,HP_0001597,Abnormal nail morphology,HPO,"",http://purl.obolibrary.org/obo/HP_0001597,false,false
