matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
110,atenolol,CIDm00002249,resolved,CHEMBL24,"[""CHEMBL24""]",multiple_structure_matches,"[""CHEMBL1230004"",""CHEMBL24"",""CHEMBL343633""]","[""CHEMBL24""]",CHEMBL24,confirmed_name_structure,very_high,resolved
111,pimecrolimus,CIDm06509979,resolved,CHEMBL1200686,"[""CHEMBL1200686""]",stitch_not_found,[],[],CHEMBL1200686,name_only_resolved,high,resolved
112,omeprazole,CIDm00004594,resolved,CHEMBL1503,"[""CHEMBL1503""]",multiple_structure_matches,"[""CHEMBL1200470"",""CHEMBL1201320"",""CHEMBL1503"",""CHEMBL1567328"",""CHEMBL2105294""]","[""CHEMBL1503""]",CHEMBL1503,confirmed_name_structure,very_high,resolved
113,cetirizine,CIDm01548999,resolved,CHEMBL1000,"[""CHEMBL1000"",""CHEMBL1607273""]",stitch_not_found,[],[],CHEMBL1000,supported_canonical_name,high,resolved
114,diltiazem,CIDm00039186,resolved,CHEMBL23,"[""CHEMBL23""]",stitch_not_found,[],[],CHEMBL23,name_only_resolved,high,resolved
115,alfuzosin,CIDm00002092,resolved,CHEMBL709,"[""CHEMBL709""]",multiple_structure_matches,"[""CHEMBL1723"",""CHEMBL709""]","[""CHEMBL709""]",CHEMBL709,confirmed_name_structure,very_high,resolved
116,nitisinone,CIDm00115355,ambiguous,"","[""CHEMBL1337"",""RXNORM:61805""]",unique_structure_match,"[""CHEMBL1337""]","[""CHEMBL1337""]",CHEMBL1337,resolved_by_unique_structure_candidate,very_high,resolved
117,clobazam,CIDm00002789,resolved,CHEMBL70418,"[""CHEMBL70418""]",unique_structure_match,"[""CHEMBL70418""]","[""CHEMBL70418""]",CHEMBL70418,confirmed_name_structure,very_high,resolved
118,megestrol,CIDm00019090,resolved,CHEMBL1201139,"[""CHEMBL1201139""]",stitch_found_no_optimuskg_match,[],[],CHEMBL1201139,name_only_resolved,high,resolved
119,aztreonam,CIDm05742832,resolved,CHEMBL158,"[""CHEMBL158""]",stitch_not_found,[],[],CHEMBL158,name_only_resolved,high,resolved
