matrix_index,biokorf_drug_id,drug_name,gene_count,pathway_count,has_gene_evidence,has_pathway_evidence
513,BIOKORF_DRUG_513,saquinavir,16,41,True,True
514,BIOKORF_DRUG_514,dexamethasone,27,61,True,True
515,BIOKORF_DRUG_515,levodopa,11,21,True,True
516,BIOKORF_DRUG_516,aripiprazole,49,59,True,True
517,BIOKORF_DRUG_517,epoprostenol,3,8,True,True
518,BIOKORF_DRUG_518,gemfibrozil,17,43,True,True
519,BIOKORF_DRUG_519,clomipramine,12,36,True,True
520,BIOKORF_DRUG_520,bepridil,13,79,True,True
521,BIOKORF_DRUG_521,docetaxel,0,0,False,False
522,BIOKORF_DRUG_522,iodixanol,0,0,False,False
523,BIOKORF_DRUG_523,olsalazine,2,8,True,True
524,BIOKORF_DRUG_524,dasatinib,31,230,True,True
525,BIOKORF_DRUG_525,lisdexamfetamine,3,9,True,True
526,BIOKORF_DRUG_526,lapatinib,8,64,True,True
527,BIOKORF_DRUG_527,desonide,2,15,True,True
528,BIOKORF_DRUG_528,sitagliptin,5,16,True,True
529,BIOKORF_DRUG_529,decitabine,9,16,True,True
530,BIOKORF_DRUG_530,posaconazole,2,9,True,True
531,BIOKORF_DRUG_531,darunavir,6,25,True,True
532,BIOKORF_DRUG_532,telbivudine,0,0,False,False
533,BIOKORF_DRUG_533,paliperidone,19,25,True,True
534,BIOKORF_DRUG_534,sunitinib,15,83,True,True
535,BIOKORF_DRUG_535,varenicline,0,0,False,False
536,BIOKORF_DRUG_536,hydralazine,5,28,True,True
537,BIOKORF_DRUG_537,exenatide,0,0,False,False
538,BIOKORF_DRUG_538,nelarabine,4,14,True,True
539,BIOKORF_DRUG_539,corticotropin,0,0,False,False
540,BIOKORF_DRUG_540,pirbuterol,2,5,True,True
541,BIOKORF_DRUG_541,insulin.aspart,0,0,False,False
542,BIOKORF_DRUG_542,insulin.detemir,0,0,False,False
543,BIOKORF_DRUG_543,fosamprenavir,1,7,True,True
544,BIOKORF_DRUG_544,fosphenytoin,10,29,True,True
545,BIOKORF_DRUG_545,cilazapril,4,6,True,True
546,BIOKORF_DRUG_546,penbutolol,6,15,True,True
547,BIOKORF_DRUG_547,iohexol,0,0,False,False
548,BIOKORF_DRUG_548,rasagiline,3,16,True,True
549,BIOKORF_DRUG_549,sodium.bicarbonate,0,0,False,False
550,BIOKORF_DRUG_550,bezafibrate,11,46,True,True
551,BIOKORF_DRUG_551,colchicine,0,0,False,False
552,BIOKORF_DRUG_552,danazol,10,36,True,True
553,BIOKORF_DRUG_553,tiotropium.bromide,0,0,False,False
554,BIOKORF_DRUG_554,ciclesonide,5,21,True,True
555,BIOKORF_DRUG_555,cefepime,3,4,True,True
556,BIOKORF_DRUG_556,colestyramine,0,0,False,False
557,BIOKORF_DRUG_557,flunitrazepam,25,18,True,True
558,BIOKORF_DRUG_558,dihydrocodeine,2,10,True,True
559,BIOKORF_DRUG_559,bromazepam,19,13,True,True
560,BIOKORF_DRUG_560,ursodeoxycholic.acid,9,23,True,True
561,BIOKORF_DRUG_561,quazepam,20,13,True,True
562,BIOKORF_DRUG_562,everolimus,7,32,True,True
563,BIOKORF_DRUG_563,solifenacin,10,22,True,True
564,BIOKORF_DRUG_564,tiaprofenic.acid,2,9,True,True
565,BIOKORF_DRUG_565,deferasirox,6,19,True,True
566,BIOKORF_DRUG_566,valganciclovir,3,4,True,True
567,BIOKORF_DRUG_567,roflumilast,6,10,True,True
568,BIOKORF_DRUG_568,fusidic.acid,7,28,True,True
569,BIOKORF_DRUG_569,fotemustine,0,0,False,False
570,BIOKORF_DRUG_570,thiotepa,3,12,True,True
571,BIOKORF_DRUG_571,maraviroc,2,11,True,True
572,BIOKORF_DRUG_572,cyproterone,0,0,False,False
573,BIOKORF_DRUG_573,tetrabenazine,4,12,True,True
574,BIOKORF_DRUG_574,ixabepilone,3,40,True,True
575,BIOKORF_DRUG_575,febuxostat,1,3,True,True
576,BIOKORF_DRUG_576,dronedarone,38,62,True,True
577,BIOKORF_DRUG_577,nebivolol,7,27,True,True
578,BIOKORF_DRUG_578,nilotinib,11,60,True,True
579,BIOKORF_DRUG_579,lorcaserin,9,20,True,True
580,BIOKORF_DRUG_580,vildagliptin,1,2,True,True
581,BIOKORF_DRUG_581,milnacipran,10,21,True,True
582,BIOKORF_DRUG_582,nesiritide,0,0,False,False
583,BIOKORF_DRUG_583,oritavancin,5,22,True,True
584,BIOKORF_DRUG_584,clevidipine,10,22,True,True
585,BIOKORF_DRUG_585,ospemifene,6,27,True,True
586,BIOKORF_DRUG_586,iloperidone,16,24,True,True
587,BIOKORF_DRUG_587,retigabine,9,15,True,True
588,BIOKORF_DRUG_588,ingenol.mebutate,0,0,False,False
589,BIOKORF_DRUG_589,belinostat,17,84,True,True
590,BIOKORF_DRUG_590,indacaterol,4,18,True,True
591,BIOKORF_DRUG_591,trabectedin,6,15,True,True
592,BIOKORF_DRUG_592,glatiramer.acetate,0,0,False,False
593,BIOKORF_DRUG_593,rotigotine,9,17,True,True
594,BIOKORF_DRUG_594,samarium.(153Sm).lexidronam,0,0,False,False
595,BIOKORF_DRUG_595,vandetanib,14,92,True,True
596,BIOKORF_DRUG_596,ecallantide,0,0,False,False
597,BIOKORF_DRUG_597,romiplostim,0,0,False,False
598,BIOKORF_DRUG_598,dexlansoprazole,5,12,True,True
599,BIOKORF_DRUG_599,telaprevir,6,22,True,True
600,BIOKORF_DRUG_600,mipomersen,0,0,False,False
601,BIOKORF_DRUG_601,apremilast,4,15,True,True
602,BIOKORF_DRUG_602,ustekinumab,1,2,True,True
